Year,AI,ML,Total
2002-01-01 00:00:00,27,3,139735
2003-01-01 00:00:00,24,5,169325
2004-01-01 00:00:00,24,5,144636
2005-01-01 00:00:00,9,6,146986
2006-01-01 00:00:00,19,8,158390
2007-01-01 00:00:00,15,7,182366
2008-01-01 00:00:00,27,7,204073
2009-01-01 00:00:00,31,6,264926
2010-01-01 00:00:00,25,22,273931
2011-01-01 00:00:00,10,9,246283
2012-01-01 00:00:00,34,12,257524
2013-01-01 00:00:00,25,27,247839
2014-01-01 00:00:00,22,27,282565
2015-01-01 00:00:00,16,43,292342
2016-01-01 00:00:00,30,68,305598
2017-01-01 00:00:00,74,100,337747
2018-01-01 00:00:00,179,208,339172
2019-01-01 00:00:00,179,165,265867
